Accession,Abundances (by Bio. Rep.): Sample- A1,Abundances (by Bio. Rep.): Sample- A2,Abundances (by Bio. Rep.): Sample- A3,Abundances (by Bio. Rep.): Sample- B1,Abundances (by Bio. Rep.): Sample- B2,Abundances (by Bio. Rep.): Sample- B3,Abundances (by Bio. Rep.): Sample- C1,Abundances (by Bio. Rep.): Sample- C2,Abundances (by Bio. Rep.): Sample- C3,Abundances (by Bio. Rep.): Cntrol 1,Abundances (by Bio. Rep.): Cntrol 2,Abundances (by Bio. Rep.): Cntrol 3
NP_001060.1,172.76666666666665,30.875000000000004,146.19166666666666,146.19166666666666,71.21666666666668,71.21666666666668,188.95000000000002,71.21666666666668,110.73333333333333,188.95000000000002,71.21666666666668,146.19166666666666
NP_000282.1,18948.15,25867.533333333336,18343.8,18343.8,24833.56666666667,18343.8,19204.516666666666,25867.533333333336,19573.091666666667,18948.15,24833.56666666667,19204.516666666666
NP_006422.1,9726.425000000001,8215.05,8515.625000000002,9580.866666666667,7884.566666666668,8117.649999999999,8997.474999999999,7521.358333333333,7973.575,9580.866666666667,8117.649999999999,8515.625000000002
XP_016865667.1,110.73333333333333,17.708333333333336,17.708333333333336,110.73333333333333,17.708333333333336,38.725,110.73333333333333,17.708333333333336,30.875000000000004,110.73333333333333,17.708333333333336,17.708333333333336
NP_004238.3,4516.408333333334,3837.2499999999995,5261.441666666667,4811.591666666666,3884.9500000000007,5396.625,4811.591666666666,3837.2499999999995,5576.275000000001,4589.791666666666,3738.2000000000007,5180.733333333333
XP_011526286.2,16469.858333333334,16469.858333333334,17569.68333333333,16469.858333333334,16469.858333333334,17569.68333333333,16785.7,17111.6,18017.26666666667,15847.483333333332,15599.916666666664,17111.6
NP_006816.2,11314.225,12153.683333333332,9361.533333333333,12153.683333333332,12902.491666666669,9802.291666666666,11440.6,12470.074999999999,9494.474999999999,11440.6,12244.833333333334,8716.816666666668
NP_005557.1,22855.13333333333,22855.13333333333,21787.308333333334,25867.533333333336,23802.908333333336,22855.13333333333,27890.899999999994,27890.899999999994,25867.533333333336,27890.899999999994,26986.133333333335,24833.56666666667
NP_003312.3,11158.391666666665,9361.533333333333,12470.074999999999,12244.833333333334,10200.341666666667,12761.858333333332,12598.891666666665,10331.125,13573.475,11314.225,8716.816666666668,11570.141666666668
NP_001352542.1,9580.866666666667,11158.391666666665,4093.8666666666663,9494.474999999999,10949.891666666668,3884.9500000000007,10200.341666666667,11570.141666666668,4158.75,9950.483333333334,11992.16666666667,3988.2833333333333
NP_006752.1,26287.74166666667,23154.725000000002,24833.56666666667,24454.075,21787.308333333334,23154.725000000002,24833.56666666667,21281.675,22563.158333333336,26287.74166666667,22563.158333333336,23802.908333333336
NP_001276052.1,38.725,422.59999999999997,172.76666666666665,30.875000000000004,422.59999999999997,172.76666666666665,30.875000000000004,422.59999999999997,188.95000000000002,30.875000000000004,584.9583333333333,188.95000000000002
XP_005249786.1,24833.56666666667,26986.133333333335,24164.241666666665,25428.61666666667,27890.899999999994,24164.241666666665,25867.533333333336,29601.466666666664,24833.56666666667,22563.158333333336,25867.533333333336,22089.941666666666
NP_064505.1,5261.441666666667,5396.625,4516.408333333334,5882.558333333333,5937.483333333334,5083.916666666667,5843.458333333335,5843.458333333335,4933.15,5287.508333333334,5396.625,4873.708333333333
XP_005245768.1,13218.383333333333,11835.199999999999,8997.474999999999,13114.6,12153.683333333332,9580.866666666667,13766.699999999999,12244.833333333334,9726.425000000001,12761.858333333332,11314.225,8615.741666666667
NP_006077.2,1401.3916666666667,2312.6083333333336,2312.6083333333336,1401.3916666666667,2967.4833333333336,2312.6083333333336,1401.3916666666667,2967.4833333333336,2312.6083333333336,1401.3916666666667,3235.0916666666667,2312.6083333333336
NP_002131.2,15599.916666666664,15018.474999999999,12902.491666666669,15281.308333333332,14683.733333333332,12470.074999999999,15281.308333333332,14531.766666666665,12761.858333333332,15281.308333333332,15018.474999999999,12403.575000000003
NP_112420.1,22089.941666666666,14258.366666666667,14258.366666666667,21787.308333333334,13346.566666666666,14020.833333333334,23802.908333333336,13766.699999999999,14020.833333333334,20208.374999999996,14020.833333333334,13766.699999999999
XP_016858683.1,7044.391666666666,6322.625,5287.508333333334,7593.208333333333,6855.191666666667,5882.558333333333,8215.05,7172.666666666667,6152.575000000001,7044.391666666666,6388.450000000001,5148.516666666666
NP_006000.2,864.4750000000003,864.4750000000003,1401.3916666666667,864.4750000000003,864.4750000000003,1401.3916666666667,864.4750000000003,864.4750000000003,1401.3916666666667,584.9583333333333,864.4750000000003,1401.3916666666667
NP_001269633.1,8716.816666666668,8515.625000000002,12153.683333333332,9361.533333333333,9580.866666666667,13218.383333333333,9062.883333333333,9494.474999999999,13114.6,8860.183333333332,8997.474999999999,13573.475
NP_001257376.1,4050.25,5148.516666666666,7593.208333333333,4637.708333333333,6197.083333333333,9208.466666666665,5329.925,7098.616666666666,9802.291666666666,4291.208333333333,5450.191666666667,7771.416666666665
NP_001339990.1,10474.8,11440.6,12761.858333333332,10674.7,11440.6,12244.833333333334,9950.483333333334,10949.891666666668,11570.141666666668,10474.8,11835.199999999999,12761.858333333332
XP_024308601.1,4158.75,4227.916666666667,5509.866666666666,4050.25,3988.2833333333333,4873.708333333333,4362.216666666666,4050.25,5261.441666666667,4637.708333333333,4589.791666666666,6026.691666666667
NP_060918.2,3552.2666666666664,3434.958333333334,4158.75,3434.958333333334,3235.0916666666667,3988.2833333333333,3235.0916666666667,3091.4250000000006,3837.2499999999995,3665.991666666667,3434.958333333334,4449.1916666666675
NP_001091868.1,4667.383333333334,3738.2000000000007,3738.2000000000007,4449.1916666666675,3434.958333333334,3665.991666666667,4449.1916666666675,3552.2666666666664,3738.2000000000007,4743.7,3884.9500000000007,3837.2499999999995
NP_908932.1,15018.474999999999,15599.916666666664,15847.483333333332,14886.500000000002,14258.366666666667,15018.474999999999,15018.474999999999,14683.733333333332,15847.483333333332,16785.7,16469.858333333334,17569.68333333333
NP_005262.1,16128.449999999999,14886.500000000002,10200.341666666667,17569.68333333333,15599.916666666664,11440.6,17569.68333333333,15847.483333333332,11835.199999999999,15599.916666666664,14683.733333333332,9950.483333333334
NP_001407.1,9802.291666666666,12598.891666666665,10331.125,8860.183333333332,11158.391666666665,9361.533333333333,8860.183333333332,11314.225,9208.466666666665,9726.425000000001,13346.566666666666,10949.891666666668
NP_001290043.1,18343.8,20208.374999999996,19204.516666666666,15847.483333333332,18683.083333333332,18683.083333333332,18343.8,22089.941666666666,20931.775,24833.56666666667,27464.816666666666,29601.466666666664
NP_005989.3,7593.208333333333,6908.641666666666,8716.816666666668,7098.616666666666,6322.625,8299.55,6633.600000000001,5882.558333333333,7771.416666666665,7521.358333333333,6855.191666666667,9062.883333333333
NP_001095868.1,146.19166666666666,71.21666666666668,110.73333333333333,172.76666666666665,30.875000000000004,146.19166666666666,146.19166666666666,30.875000000000004,146.19166666666666,146.19166666666666,30.875000000000004,110.73333333333333
NP_036205.1,7172.666666666667,8860.183333333332,9062.883333333333,6688.291666666665,8046.808333333333,8346.25,6197.083333333333,7346.316666666667,8299.55,6997.916666666667,8346.25,8997.474999999999
NP_001129172.1,21281.675,22563.158333333336,21281.675,19573.091666666667,21281.675,19204.516666666666,19573.091666666667,20608.30833333333,18948.15,20608.30833333333,21787.308333333334,21281.675
NP_110379.2,8117.649999999999,6855.191666666667,7279.5250000000015,7884.566666666668,6428.233333333333,7044.391666666666,7521.358333333333,6026.691666666667,6428.233333333333,8117.649999999999,6688.291666666665,7346.316666666667
NP_005909.2,14886.500000000002,13218.383333333333,16128.449999999999,15599.916666666664,14531.766666666665,16785.7,16128.449999999999,14258.366666666667,17111.6,14683.733333333332,12902.491666666669,14886.500000000002
NP_057535.1,4093.8666666666663,4093.8666666666663,3950.491666666667,3950.491666666667,3665.991666666667,3950.491666666667,3837.2499999999995,3665.991666666667,3950.491666666667,4227.916666666667,4093.8666666666663,4093.8666666666663
XP_011526432.1,20931.775,21281.675,17111.6,24164.241666666665,23154.725000000002,18948.15,22563.158333333336,22855.13333333333,17569.68333333333,19204.516666666666,20208.374999999996,15847.483333333332
NP_002620.1,6855.191666666667,6535.558333333333,7172.666666666667,6855.191666666667,6265.716666666667,7172.666666666667,7044.391666666666,6535.558333333333,7346.316666666667,7593.208333333333,6908.641666666666,7715.266666666667
NP_036565.2,6092.308333333334,4423.858333333333,4423.858333333333,6428.233333333333,4811.591666666666,4516.408333333334,6566.325,4873.708333333333,4743.7,6265.716666666667,4516.408333333334,4589.791666666666
NP_064502.9,7098.616666666666,5843.458333333335,5450.191666666667,6908.641666666666,5658.883333333334,5024.0666666666675,6789.300000000002,5509.866666666666,5083.916666666667,7172.666666666667,5937.483333333334,5396.625
XP_011543629.1,7454.891666666666,6092.308333333334,6026.691666666667,8117.649999999999,6633.600000000001,6855.191666666667,8046.808333333333,6477.908333333333,6997.916666666667,7454.891666666666,6026.691666666667,6388.450000000001
NP_001171725.1,3091.4250000000006,4050.25,4362.216666666666,2967.4833333333336,4050.25,4423.858333333333,3434.958333333334,4449.1916666666675,4589.791666666666,3235.0916666666667,4227.916666666667,4423.858333333333
